steroid,subject,matrix,condition,concentration
dhc,juv_15,vta,sti,0.046938776
dhc,sg_14,vta,sti,0.0382979772837681
p4,juv_3,vta,con,NA
p4,juv_7,vta,con,NA
p4,juv_9,vta,con,NA
p4,juv_12,vta,con,NA
p4,sg_88,vta,con,NA
p4,sg_90,vta,con,NA
p4,sg_93,vta,con,NA
p4,sg_94,vta,con,NA
p4,sg_12,vta,con,NA
p4,sg_18,vta,con,NA
p4,juv_4,vta,sti,0.131
p4,juv_5,vta,sti,0.095
p4,juv_6,vta,sti,0.067
p4,cj_124,vta,sti,0.0535365386634255
p4,juv_10,vta,sti,0.0193280468427445
p4,juv_11,vta,sti,0.0609839343618511
p4,juv_14,vta,sti,0.0606438214050609
p4,sg_20,vta,sti,0.054
p4,sg_21,vta,sti,0.12
p4,sg_22,vta,sti,0.063
p4,sg_31,vta,sti,0.145
p4,sg_36,vta,sti,0.095
p4,sg_48,vta,sti,0.0405233917951876
p4,juv_15,vta,sti,0.102
p4,sg_14,vta,sti,0.0610385795680179
t,juv_3,vta,con,0.000230142154119765
t,juv_7,vta,con,1.009
t,juv_9,vta,con,0.0222668916646608
t,juv_12,vta,con,0.028
t,sg_88,vta,con,0.0214464969955982
t,sg_90,vta,con,0.032
t,sg_93,vta,con,0.0226298842026634
t,sg_94,vta,con,0.0227214132703658
t,sg_12,vta,con,0.021
t,sg_18,vta,con,0.092
t,juv_4,vta,sti,NA
t,juv_5,vta,sti,NA
t,juv_6,vta,sti,NA
t,juv_10,vta,sti,NA
t,juv_11,vta,sti,NA
t,juv_14,vta,sti,NA
t,sg_20,vta,sti,NA
t,sg_21,vta,sti,NA
t,sg_22,vta,sti,NA
t,sg_31,vta,sti,NA
t,sg_36,vta,sti,NA
t,sg_48,vta,sti,NA
t,juv_15,vta,sti,NA
t,sg_14,vta,sti,NA
ae,juv_1,wb,con,NA
ae,juv_3,wb,con,NA
ae,juv_7,wb,con,NA
ae,juv_9,wb,con,NA
ae,juv_12,wb,con,NA
ae,sg_88,wb,con,NA
ae,sg_90,wb,con,NA
ae,sg_93,wb,con,NA
ae,sg_94,wb,con,NA
ae,sg_12,wb,con,NA
ae,sg_18,wb,con,NA
ae,juv_4,wb,sti,0.01256159
ae,juv_5,wb,sti,0.013
ae,juv_6,wb,sti,0.01263419
ae,juv_10,wb,sti,0.01252838
ae,juv_11,wb,sti,0.01177193
ae,juv_14,wb,sti,0.01272238
ae,sg_20,wb,sti,0.0125514
ae,sg_21,wb,sti,0.01268765
ae,sg_22,wb,sti,0.01288768
ae,sg_31,wb,sti,0.015
ae,sg_36,wb,sti,0.016
ae,sg_48,wb,sti,0.01203217
ae,juv_15,wb,sti,0.0130723
ae,sg_14,wb,sti,0.01304893
b,juv_1,wb,con,3.43
b,juv_3,wb,con,0.18
b,juv_7,wb,con,3.73
b,juv_9,wb,con,3.7
b,juv_12,wb,con,3.38
b,sg_88,wb,con,1
b,sg_90,wb,con,1.58
b,sg_93,wb,con,0.92
b,sg_94,wb,con,0.54
b,sg_12,wb,con,1.9
b,sg_18,wb,con,1.44
b,juv_4,wb,sti,6.958
b,juv_5,wb,sti,6.137
b,juv_6,wb,sti,4.6
b,juv_10,wb,sti,1.879
b,juv_11,wb,sti,3.909
b,juv_14,wb,sti,4.041
b,sg_20,wb,sti,5.326
b,sg_21,wb,sti,13.981
b,sg_22,wb,sti,3.391
b,sg_31,wb,sti,7.116
b,sg_36,wb,sti,8.38
b,sg_48,wb,sti,8.233
b,juv_15,wb,sti,11.095
b,sg_14,wb,sti,7.201
dhc,juv_1,wb,con,0.553
dhc,juv_3,wb,con,0.182
dhc,juv_7,wb,con,0.4075
dhc,juv_9,wb,con,0.3162
dhc,juv_12,wb,con,0.3459
dhc,sg_88,wb,con,0.2184
dhc,sg_90,wb,con,0.31
dhc,sg_93,wb,con,0.184
dhc,sg_94,wb,con,0.1556
dhc,sg_12,wb,con,0.3981
dhc,sg_18,wb,con,0.3699
dhc,juv_4,wb,sti,0.979
dhc,juv_5,wb,sti,0.6734
dhc,juv_6,wb,sti,0.4544
dhc,juv_10,wb,sti,0.5209
dhc,juv_11,wb,sti,0.4782
dhc,juv_14,wb,sti,0.892
dhc,sg_20,wb,sti,0.8253
dhc,sg_21,wb,sti,1.1043
dhc,sg_22,wb,sti,0.5872
dhc,sg_31,wb,sti,0.9626
dhc,sg_36,wb,sti,1.1896
dhc,sg_48,wb,sti,0.5398
dhc,juv_15,wb,sti,0.43232889
dhc,sg_14,wb,sti,3.4592
p4,juv_1,wb,con,0.086
p4,juv_3,wb,con,0.01943358
p4,juv_7,wb,con,0.167
p4,juv_9,wb,con,0.7
p4,juv_12,wb,con,0.073
p4,sg_88,wb,con,0.069
p4,sg_90,wb,con,0.258
p4,sg_93,wb,con,0.033
p4,sg_94,wb,con,0.058
p4,sg_12,wb,con,0.267
p4,sg_18,wb,con,0.072
p4,juv_4,wb,sti,0.631
p4,juv_5,wb,sti,0.161
p4,juv_6,wb,sti,0.238
p4,cj_124,wb,sti,0.136
p4,juv_10,wb,sti,0.069
p4,juv_11,wb,sti,0.058
p4,juv_14,wb,sti,0.19
p4,sg_20,wb,sti,0.741
p4,sg_21,wb,sti,2.354
p4,sg_22,wb,sti,0.06171187
p4,sg_31,wb,sti,0.421
p4,sg_36,wb,sti,0.197
p4,sg_48,wb,sti,0.541
p4,juv_15,wb,sti,0.343
p4,sg_14,wb,sti,0.387
t,juv_1,wb,con,0.155
t,juv_3,wb,con,0.00130877
t,juv_7,wb,con,0.00396551
t,juv_9,wb,con,0.00496259
t,juv_12,wb,con,0.00454098
t,sg_88,wb,con,0.00027247
t,sg_90,wb,con,0.005
t,sg_93,wb,con,0.00019689
t,sg_94,wb,con,0.00521665
t,sg_12,wb,con,0.009
t,sg_18,wb,con,0.0053888
t,juv_4,wb,sti,0.089
t,juv_5,wb,sti,0.00715531
t,juv_6,wb,sti,0.006
t,juv_10,wb,sti,0.00739787
t,juv_11,wb,sti,0.012
t,juv_14,wb,sti,0.00345324
t,sg_20,wb,sti,0.00264161
t,sg_21,wb,sti,6.05e-05
t,sg_22,wb,sti,0.00681495
t,sg_31,wb,sti,0.145
t,sg_36,wb,sti,0.00749706
t,sg_48,wb,sti,0.00198701
t,juv_15,wb,sti,0.0063711
t,sg_14,wb,sti,0.022
