steroid,subject,matrix,condition,concentration
t,juv_10,bnst,sti,NA
t,juv_11,bnst,sti,NA
t,juv_14,bnst,sti,NA
t,sg_20,bnst,sti,NA
t,sg_21,bnst,sti,NA
t,sg_22,bnst,sti,NA
t,sg_31,bnst,sti,NA
t,sg_36,bnst,sti,NA
t,sg_48,bnst,sti,NA
t,juv_15,bnst,sti,NA
t,sg_14,bnst,sti,NA
ae,juv_1,cb,con,NA
ae,juv_3,cb,con,NA
ae,juv_7,cb,con,NA
ae,juv_9,cb,con,NA
ae,juv_12,cb,con,NA
ae,sg_88,cb,con,NA
ae,sg_90,cb,con,NA
ae,sg_93,cb,con,NA
ae,sg_94,cb,con,NA
ae,sg_12,cb,con,NA
ae,sg_18,cb,con,NA
ae,juv_4,cb,sti,NA
ae,juv_5,cb,sti,NA
ae,juv_6,cb,sti,NA
ae,juv_10,cb,sti,NA
ae,juv_11,cb,sti,NA
ae,juv_14,cb,sti,NA
ae,sg_20,cb,sti,NA
ae,sg_21,cb,sti,NA
ae,sg_22,cb,sti,NA
ae,sg_31,cb,sti,NA
ae,sg_36,cb,sti,NA
ae,sg_48,cb,sti,NA
ae,juv_15,cb,sti,NA
ae,sg_14,cb,sti,NA
b,juv_1,cb,con,1.327
b,juv_3,cb,con,0.725
b,juv_7,cb,con,2.165
b,juv_9,cb,con,1.097
b,juv_12,cb,con,1.647
b,sg_88,cb,con,1.299
b,sg_90,cb,con,0.463
b,sg_93,cb,con,0.641
b,sg_94,cb,con,0.614214567451307
b,sg_12,cb,con,2.065
b,sg_18,cb,con,1.355
b,juv_4,cb,sti,3.908
b,juv_5,cb,sti,1.716
b,juv_6,cb,sti,4.461
b,juv_10,cb,sti,1.414
b,juv_11,cb,sti,1.999
b,juv_14,cb,sti,4.548
b,sg_20,cb,sti,3.909
b,sg_21,cb,sti,6.556
b,sg_22,cb,sti,5.179
b,sg_31,cb,sti,5.424
b,sg_36,cb,sti,6.601
b,sg_48,cb,sti,6.789
b,juv_15,cb,sti,3.895
b,sg_14,cb,sti,3.045
dhc,juv_1,cb,con,NA
dhc,juv_3,cb,con,NA
dhc,juv_7,cb,con,NA
dhc,juv_9,cb,con,NA
dhc,juv_12,cb,con,NA
dhc,sg_88,cb,con,NA
dhc,sg_90,cb,con,NA
dhc,sg_93,cb,con,NA
dhc,sg_94,cb,con,NA
dhc,sg_12,cb,con,NA
dhc,sg_18,cb,con,NA
dhc,juv_4,cb,sti,0.072789116
dhc,juv_5,cb,sti,0.0238955381153447
dhc,juv_6,cb,sti,0.050340136
dhc,juv_10,cb,sti,0.023129252
dhc,juv_11,cb,sti,0.0241326781664087
dhc,juv_14,cb,sti,0.00646537614507053
dhc,sg_20,cb,sti,0.0107553083619812
dhc,sg_21,cb,sti,0.02585034
dhc,sg_22,cb,sti,0.032653061
dhc,sg_31,cb,sti,0.025170068
dhc,sg_36,cb,sti,0.027891156
dhc,sg_48,cb,sti,0.0204292821036525
dhc,juv_15,cb,sti,0.0154570345041476
dhc,sg_14,cb,sti,0.0132704239946789
p4,juv_1,cb,con,NA
p4,juv_3,cb,con,NA
p4,juv_7,cb,con,NA
p4,juv_9,cb,con,NA
p4,juv_12,cb,con,NA
p4,sg_88,cb,con,NA
p4,sg_90,cb,con,NA
p4,sg_93,cb,con,NA
p4,sg_94,cb,con,NA
p4,sg_12,cb,con,NA
p4,sg_18,cb,con,NA
p4,juv_4,cb,sti,NA
p4,juv_5,cb,sti,NA
p4,juv_6,cb,sti,NA
p4,cj_124,cb,sti,NA
p4,juv_10,cb,sti,NA
p4,juv_11,cb,sti,NA
p4,juv_14,cb,sti,NA
p4,sg_20,cb,sti,NA
p4,sg_21,cb,sti,NA
p4,sg_22,cb,sti,NA
p4,sg_31,cb,sti,NA
p4,sg_36,cb,sti,NA
p4,sg_48,cb,sti,NA
p4,juv_15,cb,sti,NA
p4,sg_14,cb,sti,NA
t,juv_1,cb,con,NA
t,juv_3,cb,con,NA
t,juv_7,cb,con,NA
t,juv_9,cb,con,NA
t,juv_12,cb,con,NA
t,sg_88,cb,con,NA
t,sg_90,cb,con,NA
t,sg_93,cb,con,NA
t,sg_94,cb,con,NA
t,sg_12,cb,con,NA
t,sg_18,cb,con,NA
t,juv_4,cb,sti,0.00478553664309628
t,juv_5,cb,sti,0.0164490661636375
t,juv_6,cb,sti,0.0191743077044112
t,juv_10,cb,sti,0.0187662766562924
t,juv_11,cb,sti,0.0157579481755906
t,juv_14,cb,sti,0.044
t,sg_20,cb,sti,0.026
t,sg_21,cb,sti,0.182
t,sg_22,cb,sti,0.016
t,sg_31,cb,sti,0.00300968685326889
t,sg_36,cb,sti,0.0141405367255358
t,sg_48,cb,sti,0.034
t,juv_15,cb,sti,0.0177592250307535
t,sg_14,cb,sti,0.0184938348892345
ae,juv_1,cg,con,NA
ae,juv_3,cg,con,NA
ae,juv_7,cg,con,NA
ae,juv_9,cg,con,NA
ae,juv_12,cg,con,NA
ae,sg_88,cg,con,NA
ae,sg_90,cg,con,NA
ae,sg_93,cg,con,NA
ae,sg_94,cg,con,NA
ae,sg_12,cg,con,NA
ae,sg_18,cg,con,NA
ae,juv_4,cg,sti,NA
ae,juv_5,cg,sti,NA
ae,juv_6,cg,sti,NA
ae,juv_10,cg,sti,NA
ae,juv_11,cg,sti,NA
ae,juv_14,cg,sti,NA
ae,sg_20,cg,sti,NA
ae,sg_21,cg,sti,NA
ae,sg_22,cg,sti,NA
ae,sg_31,cg,sti,NA
ae,sg_36,cg,sti,NA
ae,sg_48,cg,sti,NA
ae,juv_15,cg,sti,NA
ae,sg_14,cg,sti,NA
b,juv_1,cg,con,1.463
b,juv_3,cg,con,0.253
b,juv_7,cg,con,1.808
b,juv_9,cg,con,2.185
b,juv_12,cg,con,0.801
b,sg_88,cg,con,0.427
b,sg_90,cg,con,0.41
b,sg_93,cg,con,0.577
b,sg_94,cg,con,0.178098822024021
b,sg_12,cg,con,1.215
b,sg_18,cg,con,0.95
b,juv_4,cg,sti,3.311
b,juv_5,cg,sti,2.549
b,juv_6,cg,sti,1.591
b,juv_10,cg,sti,1.066
b,juv_11,cg,sti,2.993
b,juv_14,cg,sti,1.423
b,sg_20,cg,sti,2.084
b,sg_21,cg,sti,2.979
b,sg_22,cg,sti,4.569
b,sg_31,cg,sti,2.77
b,sg_36,cg,sti,4.085
b,sg_48,cg,sti,3.118
b,juv_15,cg,sti,3.245
b,sg_14,cg,sti,1.848
dhc,juv_1,cg,con,0.176530612
dhc,juv_3,cg,con,0.0490110052060526
dhc,juv_7,cg,con,0.129591837
dhc,juv_9,cg,con,0.054081633
dhc,juv_12,cg,con,0.074489796
dhc,sg_88,cg,con,0.043877551
dhc,sg_90,cg,con,0.064285714
dhc,sg_93,cg,con,0.055102041
dhc,sg_94,cg,con,0.0432405408455889
dhc,sg_12,cg,con,0.051020408
dhc,sg_18,cg,con,0.065306122
dhc,juv_4,cg,sti,0.184693878
dhc,juv_5,cg,sti,0.092857143
dhc,juv_6,cg,sti,0.092857143
dhc,cj_124,cg,sti,0.00539507056580524
dhc,juv_10,cg,sti,0.132653061
dhc,juv_11,cg,sti,0.124489796
dhc,juv_14,cg,sti,0.081632653
dhc,sg_20,cg,sti,0.097959184
dhc,sg_21,cg,sti,0.063265306
dhc,sg_22,cg,sti,0.216326531
dhc,sg_31,cg,sti,0.116326531
dhc,sg_36,cg,sti,0.162244898
dhc,sg_48,cg,sti,0.054081633
dhc,juv_15,cg,sti,0.105102041
dhc,sg_14,cg,sti,0.1
p4,juv_1,cg,con,NA
p4,juv_3,cg,con,NA
p4,juv_7,cg,con,NA
p4,juv_9,cg,con,NA
p4,juv_12,cg,con,NA
p4,sg_88,cg,con,NA
p4,sg_90,cg,con,NA
p4,sg_93,cg,con,NA
p4,sg_94,cg,con,NA
p4,sg_12,cg,con,NA
p4,sg_18,cg,con,NA
p4,juv_4,cg,sti,0.098
p4,juv_5,cg,sti,0.106
p4,juv_6,cg,sti,0.0701972349307029
p4,cj_124,cg,sti,0.0659411106349603
p4,juv_10,cg,sti,0.0639424512251888
p4,juv_11,cg,sti,0.289
p4,juv_14,cg,sti,0.0702414167980821
p4,sg_20,cg,sti,0.0447887603640264
p4,sg_21,cg,sti,0.077
p4,sg_22,cg,sti,0.117
p4,sg_31,cg,sti,0.135
p4,sg_36,cg,sti,0.077
p4,sg_48,cg,sti,0.0378606232344918
p4,juv_15,cg,sti,0.119
p4,sg_14,cg,sti,0.056
t,juv_1,cg,con,0.0277743060616057
t,juv_3,cg,con,0.626
t,juv_7,cg,con,0.0114388552957136
t,juv_9,cg,con,0.049257262067615
t,juv_12,cg,con,0.0371194568021625
t,sg_88,cg,con,0.0354791675115298
t,sg_90,cg,con,0.0453630062217801
t,sg_93,cg,con,0.0199375139345303
t,sg_94,cg,con,0.0398990406074522
t,sg_12,cg,con,0.039
t,sg_18,cg,con,0.127
t,juv_4,cg,sti,0.0234475359619029
t,juv_5,cg,sti,0.0202165819506974
t,juv_6,cg,sti,0.0206029225906819
t,juv_10,cg,sti,0.0210462206686966
t,juv_11,cg,sti,0.044
t,juv_14,cg,sti,0.0233132345961568
t,sg_20,cg,sti,0.0136289001966535
t,sg_21,cg,sti,0.0230293652280029
t,sg_22,cg,sti,0.022
t,sg_31,cg,sti,0.0114845887264357
t,sg_36,cg,sti,0.0180226501192182
t,sg_48,cg,sti,0.031
t,juv_15,cg,sti,0.0197373441496061
t,sg_14,cg,sti,0.00870305750196798
ae,juv_1,ls,con,NA
ae,juv_3,ls,con,NA
ae,juv_7,ls,con,NA
ae,juv_9,ls,con,NA
ae,juv_12,ls,con,NA
ae,sg_88,ls,con,NA
ae,sg_90,ls,con,NA
ae,sg_93,ls,con,NA
ae,sg_94,ls,con,NA
ae,sg_12,ls,con,NA
ae,sg_18,ls,con,NA
ae,juv_4,ls,sti,NA
ae,juv_5,ls,sti,NA
ae,juv_6,ls,sti,NA
ae,cj_124,ls,sti,NA
ae,juv_10,ls,sti,NA
ae,juv_11,ls,sti,NA
ae,juv_14,ls,sti,NA
ae,sg_20,ls,sti,NA
ae,sg_21,ls,sti,NA
ae,sg_22,ls,sti,NA
ae,sg_31,ls,sti,NA
ae,sg_36,ls,sti,NA
ae,sg_48,ls,sti,NA
ae,juv_15,ls,sti,NA
ae,sg_14,ls,sti,NA
b,juv_1,ls,con,1.261
b,juv_3,ls,con,0.962
b,juv_7,ls,con,1.572
b,juv_9,ls,con,2.773
b,juv_12,ls,con,1.474
b,sg_88,ls,con,0.861
b,sg_90,ls,con,0.911
b,sg_93,ls,con,0.82
b,sg_94,ls,con,0.277
b,sg_12,ls,con,1.205
b,sg_18,ls,con,1.442
b,juv_4,ls,sti,3.146
b,juv_5,ls,sti,1.923
b,juv_6,ls,sti,2.728
b,cj_124,ls,sti,2.669
b,juv_10,ls,sti,1.265
b,juv_11,ls,sti,2.108
b,juv_14,ls,sti,1.802
b,sg_20,ls,sti,1.959
b,sg_21,ls,sti,2.268
b,sg_22,ls,sti,2.766
b,sg_31,ls,sti,2.94
b,sg_36,ls,sti,4.285
b,sg_48,ls,sti,3.407
b,juv_15,ls,sti,3.813
b,sg_14,ls,sti,1.565
dhc,juv_1,ls,con,0.093877551
dhc,juv_3,ls,con,0.039795918
dhc,juv_7,ls,con,0.078571429
dhc,juv_9,ls,con,0.07244898
