,steroid,subject,matrix,condition,conc,tissue_weight
385,e3,juv_1,pec,con,NA,3.88
386,e3,juv_3,pec,con,NA,4.2
387,e3,juv_7,pec,con,NA,4.1
388,e3,juv_9,pec,con,NA,3.99
389,e3,juv_12,pec,con,NA,4
390,e3,sg_88,pec,con,NA,4.1
391,e3,sg_90,pec,con,NA,4
392,e3,sg_93,pec,con,NA,3.74
393,e3,sg_94,pec,con,NA,4.15
394,e3,sg_12,pec,con,NA,4.14
395,e3,juv_4,pec,sti,NA,3.99
396,e3,juv_5,pec,sti,NA,4.06
397,e3,juv_6,pec,sti,NA,4.02
398,e3,cj_124,pec,sti,NA,4.02
399,e3,juv_10,pec,sti,NA,3.86
400,e3,juv_11,pec,sti,NA,4.1
401,e3,juv_14,pec,sti,NA,4.03
402,e3,sg_20,pec,sti,NA,4.21
403,e3,sg_21,pec,sti,NA,4.03
404,e3,sg_22,pec,sti,NA,4.17
405,e3,sg_31,pec,sti,NA,3.93
406,e3,sg_36,pec,sti,NA,4.19
407,e3,juv_15,pec,sti,NA,4.05
408,e3,sg_14,pec,sti,NA,3.9
409,p4,juv_1,pec,con,0.079,3.88
410,p4,juv_3,pec,con,0.195,4.2
411,p4,juv_7,pec,con,0.142,4.1
412,p4,juv_9,pec,con,0.205,3.99
413,p4,juv_12,pec,con,0.137,4
414,p4,sg_88,pec,con,0.135,4.1
415,p4,sg_90,pec,con,0.095,4
416,p4,sg_93,pec,con,0.093,3.74
417,p4,sg_94,pec,con,0.104,4.15
418,p4,sg_12,pec,con,0.076,4.14
419,p4,juv_4,pec,sti,0.044,3.99
420,p4,juv_5,pec,sti,0.14,4.06
421,p4,juv_6,pec,sti,0.098,4.02
422,p4,cj_124,pec,sti,0.189,4.02
423,p4,juv_10,pec,sti,0.177,3.86
424,p4,juv_11,pec,sti,0.191,4.1
425,p4,juv_14,pec,sti,0.173,4.03
426,p4,sg_20,pec,sti,0.026767388,4.21
427,p4,sg_21,pec,sti,0.095,4.03
428,p4,sg_22,pec,sti,0.136,4.17
429,p4,sg_31,pec,sti,0.075,3.93
430,p4,sg_36,pec,sti,0.108,4.19
431,p4,juv_15,pec,sti,0.118,4.05
432,p4,sg_14,pec,sti,0.08,3.9
433,p5,juv_1,pec,con,NA,3.88
434,p5,juv_3,pec,con,NA,4.2
435,p5,juv_7,pec,con,NA,4.1
436,p5,juv_9,pec,con,NA,3.99
437,p5,juv_12,pec,con,NA,4
438,p5,sg_88,pec,con,NA,4.1
439,p5,sg_90,pec,con,NA,4
440,p5,sg_93,pec,con,NA,3.74
441,p5,sg_94,pec,con,NA,4.15
442,p5,sg_12,pec,con,NA,4.14
443,p5,juv_4,pec,sti,NA,3.99
444,p5,juv_5,pec,sti,NA,4.06
445,p5,juv_6,pec,sti,NA,4.02
446,p5,cj_124,pec,sti,NA,4.02
447,p5,juv_10,pec,sti,NA,3.86
448,p5,juv_11,pec,sti,NA,4.1
449,p5,juv_14,pec,sti,NA,4.03
450,p5,sg_20,pec,sti,NA,4.21
451,p5,sg_21,pec,sti,NA,4.03
452,p5,sg_22,pec,sti,NA,4.17
453,p5,sg_31,pec,sti,NA,3.93
454,p5,sg_36,pec,sti,NA,4.19
455,p5,juv_15,pec,sti,NA,4.05
456,p5,sg_14,pec,sti,NA,3.9
457,t,juv_1,pec,con,0.019,3.88
458,t,juv_3,pec,con,0.009,4.2
459,t,juv_7,pec,con,0.0127,4.1
460,t,juv_9,pec,con,0.028,3.99
461,t,juv_12,pec,con,0.024,4
462,t,sg_88,pec,con,0.002,4.1
463,t,sg_90,pec,con,0.008,4
464,t,sg_93,pec,con,0.011,3.74
465,t,sg_94,pec,con,0.011,4.15
466,t,sg_12,pec,con,0.008,4.14
467,t,juv_4,pec,sti,0.02,3.99
468,t,juv_5,pec,sti,0.014,4.06
469,t,juv_6,pec,sti,0.009,4.02
470,t,cj_124,pec,sti,0.02,4.02
471,t,juv_10,pec,sti,0.023,3.86
472,t,juv_11,pec,sti,0.043,4.1
473,t,juv_14,pec,sti,0.028,4.03
474,t,sg_20,pec,sti,0.009,4.21
475,t,sg_21,pec,sti,0.008,4.03
476,t,sg_22,pec,sti,0.011,4.17
477,t,sg_31,pec,sti,0.083,3.93
478,t,sg_36,pec,sti,0.014,4.19
479,t,juv_15,pec,sti,0.031,4.05
480,t,sg_14,pec,sti,0.016,3.9
481,ae,juv_1,adrenal,con,1.666,1.64
482,ae,juv_3,adrenal,con,2.192,0.74
483,ae,juv_7,adrenal,con,0.792,2.12
484,ae,juv_9,adrenal,con,2.368,1.14
485,ae,juv_12,adrenal,con,0.934,1.23
486,ae,sg_88,adrenal,con,0.714,1.8
487,ae,sg_90,adrenal,con,0.133,2.28
488,ae,sg_93,adrenal,con,0.565,1.65
489,ae,sg_94,adrenal,con,0.228,2.29
490,ae,sg_12,adrenal,con,1.338,2.15
491,ae,juv_4,adrenal,sti,1.32,1.88
492,ae,juv_5,adrenal,sti,1.708,1.6
493,ae,juv_6,adrenal,sti,1.063,1.22
494,ae,cj_124,adrenal,sti,1.358,1.49
495,ae,juv_10,adrenal,sti,0.61,1.63
496,ae,juv_11,adrenal,sti,1.239,1.66
497,ae,juv_14,adrenal,sti,0.633,1.44
498,ae,sg_20,adrenal,sti,1.735,1.99
499,ae,sg_21,adrenal,sti,5.347,1.51
500,ae,sg_22,adrenal,sti,1.049,1.59
501,ae,sg_31,adrenal,sti,1.789,1.43
502,ae,sg_36,adrenal,sti,1.766,2.11
503,ae,juv_15,adrenal,sti,1.11,2.06
504,ae,sg_14,adrenal,sti,2.869,1.46
505,ae2,juv_1,adrenal,con,0.036,1.64
506,ae2,juv_3,adrenal,con,0.05,0.74
507,ae2,juv_7,adrenal,con,0.028,2.12
508,ae2,juv_9,adrenal,con,0.103,1.14
509,ae2,juv_12,adrenal,con,0.062,1.23
510,ae2,sg_88,adrenal,con,0.058,1.8
511,ae2,sg_90,adrenal,con,0.047,2.28
512,ae2,sg_93,adrenal,con,0.056,1.65
513,ae2,sg_94,adrenal,con,0.034,2.29
514,ae2,sg_12,adrenal,con,0.079,2.15
515,ae2,juv_4,adrenal,sti,0.12,1.88
516,ae2,juv_5,adrenal,sti,0.087,1.6
517,ae2,juv_6,adrenal,sti,0.134,1.22
518,ae2,cj_124,adrenal,sti,0.073,1.49
519,ae2,juv_10,adrenal,sti,0.053,1.63
520,ae2,juv_11,adrenal,sti,0.148,1.66
521,ae2,juv_14,adrenal,sti,0.025512783,1.44
522,ae2,sg_20,adrenal,sti,0.047,1.99
523,ae2,sg_21,adrenal,sti,0.217,1.51
524,ae2,sg_22,adrenal,sti,0.092,1.59
525,ae2,sg_31,adrenal,sti,0.058,1.43
526,ae2,sg_36,adrenal,sti,0.049,2.11
527,ae2,juv_15,adrenal,sti,0.033,2.06
528,ae2,sg_14,adrenal,sti,0.086,1.46
529,b,juv_1,adrenal,con,6668.16,1.64
530,b,juv_3,adrenal,con,7574.607,0.74
531,b,juv_7,adrenal,con,1888.944,2.12
532,b,juv_9,adrenal,con,9865.418,1.14
533,b,juv_12,adrenal,con,3834.192,1.23
534,b,sg_88,adrenal,con,3083.748,1.8
535,b,sg_90,adrenal,con,2650.957,2.28
536,b,sg_93,adrenal,con,5533.429,1.65
537,b,sg_94,adrenal,con,1487.061,2.29
538,b,sg_12,adrenal,con,3168.878,2.15
539,b,juv_4,adrenal,sti,4192.307,1.88
540,b,juv_5,adrenal,sti,9482.218,1.6
